Gene family	p-value	FDR
OG0001144	0.999	0.999
OG0001145	0.359	0.999
OG0001146	0.994	0.999
OG0001147	0.951	0.999
OG0001148	0.837	0.999
OG0001149	0.991	0.999
OG0001150	0.999	0.999
OG0001151	0.018	0.556637837837838
OG0001152	0.988	0.999
OG0001158	0.833	0.999
OG0001159	0.999	0.999
OG0001160	0.449	0.999
OG0001161	0.911	0.999
OG0001163	0.999	0.999
OG0001164	0.99	0.999
OG0001165	0.941	0.999
OG0001166	0.873	0.999
OG0001167	0.006	0.215210031347962
OG0001168	0.005	0.184548387096774
OG0001169	0.492	0.999
OG0001170	0	0
OG0001172	0.998	0.999
OG0001173	0.089	0.999
OG0001174	0.995	0.999
OG0001175	0.623	0.999
OG0001176	0.045	0.999
OG0001177	0.87	0.999
OG0001178	0.996	0.999
OG0001181	0.003	0.120866197183099
OG0001182	0.993	0.999
OG0001183	0.998	0.999
OG0001184	0.976	0.999
OG0001185	0.967	0.999
OG0001187	0.91	0.999
OG0001188	0.919	0.999
OG0001189	0.912	0.999
OG0001190	0.834	0.999
OG0001191	0.045	0.999
OG0001192	0.741	0.999
OG0001193	0.245	0.999
OG0001194	0.819	0.999
OG0001195	0.045	0.999
OG0001196	0.694	0.999
OG0001197	0.999	0.999
OG0001198	0	0
OG0001202	0	0
OG0001203	0.755	0.999
OG0001206	0.734	0.999
OG0001207	0.573	0.999
OG0001210	0.977	0.999
OG0001212	0.997	0.999
OG0001213	0.006	0.215210031347962
OG0001214	0.986	0.999
OG0001215	0.988	0.999
OG0001216	0.992	0.999
OG0001217	0.998	0.999
OG0001218	0.933	0.999
OG0001219	0.999	0.999
OG0001221	0.986	0.999
OG0001223	0.992	0.999
OG0001224	0.981	0.999
OG0001228	0.933	0.999
OG0001229	0.953	0.999
OG0001230	0.994	0.999
OG0001232	0.998	0.999
OG0001233	0.005	0.184548387096774
OG0001234	0	0
OG0001235	0.001	0.0417591240875912
OG0001236	0.997	0.999
OG0001237	0.946	0.999
OG0001238	0.999	0.999
OG0001239	0.998	0.999
OG0001240	0.981	0.999
OG0001242	0.976	0.999
OG0001243	0.603	0.999
OG0001244	0.778	0.999
OG0001246	0.998	0.999
OG0001247	0.913	0.999
OG0001249	0.997	0.999
OG0001250	0.306	0.999
OG0001251	0.815	0.999
OG0001252	0.925	0.999
OG0001253	0.987	0.999
OG0001254	0.994	0.999
OG0001256	0.987	0.999
OG0001257	0.345	0.999
OG0001258	0.899	0.999
OG0001259	0.325	0.999
OG0001260	0	0
OG0001261	0.993	0.999
OG0001262	0.916	0.999
OG0001263	0.984	0.999
OG0001264	0.942	0.999
OG0001265	0.994	0.999
OG0001266	0.996	0.999
OG0001267	0.027	0.78809693877551
OG0001268	0.978	0.999
OG0001269	0.996	0.999
OG0001271	0.594	0.999
OG0001272	0.999	0.999
OG0001273	0	0
OG0001274	0.991	0.999
OG0001275	0.999	0.999
OG0001276	0.732	0.999
OG0001277	0.899	0.999
OG0001278	0.72	0.999
OG0001281	0.094	0.999
OG0001282	0.977	0.999
OG0001283	0.946	0.999
OG0001284	0.718	0.999
OG0001285	0.904	0.999
OG0001286	0.923	0.999
OG0001287	0.966	0.999
OG0001288	0.825	0.999
OG0001289	0.83	0.999
OG0001290	0.963	0.999
OG0001291	0.999	0.999
OG0001292	0.036	0.999
OG0001293	0.972	0.999
OG0001294	0.999	0.999
OG0001295	0.967	0.999
OG0001296	0.985	0.999
OG0001297	0.001	0.0417591240875912
OG0001298	0.987	0.999
OG0001299	0.926	0.999
OG0001300	0.934	0.999
OG0001301	0.994	0.999
OG0001302	0.032	0.922277078085642
OG0001303	0.855	0.999
OG0001304	0.001	0.0417591240875912
OG0001305	0.841	0.999
OG0001306	0.119	0.999
OG0001307	0.023	0.681777202072539
OG0001308	0.976	0.999
OG0001309	0.989	0.999
OG0001310	0.991	0.999
OG0001311	0.379	0.999
OG0001312	0.996	0.999
OG0001315	0.994	0.999
OG0001316	0.999	0.999
OG0001317	0.91	0.999
OG0001318	0.895	0.999
OG0001319	0.997	0.999
OG0001320	0.999	0.999
OG0001321	0.999	0.999
OG0001322	0.828	0.999
OG0001324	0.996	0.999
OG0001326	0.001	0.0417591240875912
OG0001327	0.968	0.999
OG0001328	0.995	0.999
OG0001329	0.952	0.999
OG0001330	0.136	0.999
OG0001331	0.993	0.999
OG0001333	0.123	0.999
OG0001334	0.956	0.999
OG0001335	0.961	0.999
OG0001336	0.999	0.999
OG0001337	0.967	0.999
OG0001338	0.993	0.999
OG0001341	0.378	0.999
OG0001342	0.999	0.999
OG0001343	0.977	0.999
OG0001345	0.002	0.0811489361702128
OG0001347	0.793	0.999
OG0001348	0.999	0.999
OG0001349	0.271	0.999
OG0001350	0.997	0.999
OG0001352	0.022	0.657242819843342
OG0001353	0.964	0.999
OG0001354	0.175	0.999
OG0001355	0.999	0.999
OG0001356	0.929	0.999
OG0001358	0.817	0.999
OG0001359	0.964	0.999
OG0001360	0.956	0.999
OG0001361	0.976	0.999
OG0001362	0.977	0.999
OG0001363	0.004	0.157820689655172
OG0001365	0.398	0.999
OG0001370	0.834	0.999
OG0001371	0.933	0.999
OG0001372	0.413	0.999
OG0001373	0.985	0.999
OG0001374	0.99	0.999
OG0001375	0.991	0.999
OG0001376	0.985	0.999
OG0001377	0.005	0.184548387096774
OG0001378	0.179	0.999
OG0001379	0.991	0.999
OG0001380	0.998	0.999
OG0001381	0.987	0.999
OG0001382	0.226	0.999
OG0001383	0.999	0.999
OG0001384	0.993	0.999
OG0001385	0.794	0.999
OG0001386	0.68	0.999
OG0001387	0.969	0.999
OG0001388	0.99	0.999
OG0001389	0.998	0.999
OG0001390	0.672	0.999
OG0001391	0.005	0.184548387096774
OG0001392	0.919	0.999
OG0001393	0.991	0.999
OG0001394	0.983	0.999
OG0001397	0.013	0.416655462184874
OG0001398	0.809	0.999
OG0001399	0	0
OG0001404	0.73	0.999
OG0001405	0.001	0.0417591240875912
OG0001406	0.169	0.999
OG0001407	0.199	0.999
OG0001408	0.955	0.999
OG0001409	0.993	0.999
OG0001410	0.981	0.999
OG0001411	0.19	0.999
OG0001412	0.76	0.999
OG0001414	0.988	0.999
OG0001415	0.936	0.999
OG0001416	0	0
OG0001417	0.97	0.999
OG0001418	0	0
OG0001426	0.993	0.999
OG0001427	0.963	0.999
OG0001428	0.994	0.999
OG0001429	0.998	0.999
OG0001430	0.987	0.999
OG0001431	0.019	0.584403225806452
OG0001432	0.025	0.737242268041237
OG0001433	0.578	0.999
OG0001434	0.724	0.999
OG0001435	0.984	0.999
OG0001436	0.993	0.999
OG0001437	0.129	0.999
OG0001438	0.31	0.999
OG0001439	0.476	0.999
OG0001440	0.001	0.0417591240875912
OG0001441	0.984	0.999
OG0001442	0.134	0.999
